1008,Caetés,26
1009,Araçaí,31
1010,Corumbá,50
1011,Chapadinha,21
1012,Araraquara,35
1013,Cabedelo,25
1014,Bom Sucesso do Sul,41
1015,Currais,22
1016,Barro Alto,29
1017,Parnamirim,24
1018,Capão Alto,42
1019,Colniza,51
1020,Curralinhos,22
1021,Costa Rica,50
1022,Cidelândia,21
1023,Curral Novo do Piauí,22
1024,Barrocas,29
1025,Barro Preto,29
1026,Encanto,24
1027,Caibaté,43
1028,Japaratuba,28
1029,Niterói,33
1030,Bela Vista de Goiás,52
1031,Cariús,23
1032,Campo Alegre,42
1033,Novo Aripuanã,13
1034,Inhapi,27
1035,Mantenópolis,32
1036,Comodoro,51
1037,Bom Jesus do Tocantins,17
1038,Demerval Lobão,22
1039,Borrazópolis,41
1040,Calçado,26
1041,Aracitaba,31
1042,Coxim,50
1043,Codó,21
1044,Araras,35
1045,Cachoeira dos Índios,25
1046,Igarapé-Miri,15
1047,Marataízes,32
1048,Marechal Floriano,32
1049,Marilândia,32
1050,Confresa,51
1051,Dirceu Arcoverde,22
1052,Braganey,41
1053,Arco-Íris,35
1054,Conquista D'Oeste,51
1055,Brasilândia do Sul,41
1056,Cotriguaçu,51
1057,Equador,24
1058,Caiçara,43
1059,Japoatã,28
1060,Nova Friburgo,33
1061,Bom Jardim de Goiás,52
1062,Carnaubal,23
1063,Campo Belo do Sul,42
1064,Parintins,13
1065,Jacaré dos Homens,27
1066,Mimoso do Sul,32
1067,Cuiabá,51
1068,Dom Expedito Lopes,22
1069,Cafeara,41
1070,Calumbi,26
1071,Araçuaí,31
1072,Coelho Neto,21
1073,Arealva,35
1074,Cacimba de Areia,25
1075,Inhangapi,15
1076,Belmonte,29
1077,Domingos Mourão,22
1078,Curvelândia,51
1079,Denise,51
1080,Dom Inocêncio,22
1081,Cafelândia,41
1082,Camaragibe,26
1083,Deodápolis,50
1084,Ipixuna do Pará,15
1085,Cafezal do Sul,41
1086,Dois Irmãos do Buriti,50
1087,Lagarto,28
1088,Nova Iguaçu,33
1089,Bom Jesus de Goiás,52
1090,Cascavel,23
1091,Campo Erê,42
1092,Pauini,13
1093,Jacuípe,27
1094,Montanha,32
1095,Diamantino,51
1096,Elesbão Veloso,22
1097,Califórnia,41
1098,Camocim de São Félix,26
1099,Araguari,31
1100,Douradina,50
1101,Colinas,21
1102,Areias,35
1103,Cacimba de Dentro,25
1104,Irituia,15
1105,Belo Campo,29
1106,Espírito Santo,24
1107,Camaquã,43
1108,Presidente Figueiredo,13
1109,Conceição do Lago-Açu,21
1110,Cacimbas,25
1111,Camargo,43
1112,Bonfinópolis,52
1113,Rio Preto da Eva,13
1114,Bonópolis,52
1115,Catarina,23
1116,Campos Novos,42
1117,Santa Isabel do Rio Negro,13
1118,Japaratinga,27
1119,Mucurici,32
1120,Dom Aquino,51
1121,Brasilândia do Tocantins,17
1122,Eliseu Martins,22
1123,Cambará,41
1124,Camutanga,26
1125,Arantina,31
1126,Coroatá,21
1127,Areiópolis,35
1128,Caiçara,25
1129,Itaituba,15
1130,Biritinga,29
1131,Extremoz,24
1132,Cambará do Sul,43
1133,Laranjeiras,28
1134,Paracambi,33
1135,Brazabrantes,52
1136,Catunda,23
1137,Campestre da Serra,43
1138,Santo Antônio do Içá,13
1139,Jaramataia,27
1140,Muniz Freire,32
1141,Feliz Natal,51
1142,Brejinho de Nazaré,17
1143,Esperantina,22
1144,Cambé,41
1145,Canhotinho,26
1146,Araponga,31
1147,Dourados,50
1148,Cururupu,21
1149,Ariranha,35
1150,Cajazeiras,25
1151,Itupiranga,15
1152,Boa Nova,29
1153,Felipe Guerra,24
1154,Campina das Missões,43
1155,Macambira,28
1156,Paraíba do Sul,33
1157,Caucaia,23
1158,Canelinha,42
1159,Fartura do Piauí,22
1160,Araporã,31
1161,Eldorado,50
1162,Davinópolis,21
1163,Cajazeirinhas,25
1164,Jacareacanga,15
1165,Fernando Pedroza,24
1166,Jequiá da Praia,27
1167,Buriti do Tocantins,17
1168,Flores do Piauí,22
1169,Cambira,41
1170,Capoeiras,26
1171,Arapuá,31
1172,Fátima do Sul,50
1173,Dom Pedro,21
1174,Artur Nogueira,35
1175,Caldas Brandão,25
1176,Jacundá,15
1177,Boa Vista do Tupim,29
1178,Florânia,24
1179,Campinas do Sul,43
1180,Malhada dos Bois,28
1181,Paraty,33
1182,Britânia,52
